Model,Sample,Attack,Epsilon,MSE_Clean,MSE_Adv,ASR,Degradation
Standard,2,Channel-Aware,3.0,0.010889508790596391,0.07286460455103021,0.8505514596875359,6.691266424611573
Standard,2,Pilot-Contamination,0.1,0.010889508790596391,0.011084311494933037,0.01757463279750803,1.0178890258580686
Standard,2,Pilot-Contamination,0.5,0.010889508790596391,0.01341797697894872,0.1884388527658982,1.2321930435040176
Standard,2,Pilot-Contamination,1.0,0.010889508790596391,0.018569209512574635,0.41357176334176904,1.705238488682798
Standard,2,Pilot-Contamination,2.0,0.010889508790596391,0.025154785927479405,0.5670999219794371,2.3100018936760267
Standard,2,Pilot-Contamination,3.0,0.010889508790596391,0.024969412191242053,0.5638860575814494,2.292978744165607
Standard,2,Undermining,0.1,0.010889508790596391,0.06163402322999983,0.8233198447883243,5.65994522023103
Standard,2,Undermining,0.5,0.010889508790596391,0.18688152573806024,0.9417304158472063,17.161612092130486
Standard,2,Undermining,1.0,0.010889508790596391,0.3258175766679191,0.966577896435295,29.920318990814174
Standard,2,Undermining,2.0,0.010889508790596391,0.6369483953295989,0.9829036247356249,58.49193086465334
Standard,2,Undermining,3.0,0.010889508790596391,0.9640964049462613,0.9887049586174909,88.5344255177795
Standard,3,FGSM,0.1,0.025925000260651258,0.028281750230194153,0.08333112167247637,1.0909064588562396
Standard,3,FGSM,0.5,0.025925000260651258,0.039335435680542034,0.34092505111172533,1.5172781209281228
Standard,3,FGSM,1.0,0.025925000260651258,0.056835352513747,0.5438578435071609,2.192299014168621
Standard,3,FGSM,2.0,0.025925000260651258,0.10415401598822713,0.7510897682180432,4.01751263032044
Standard,3,FGSM,3.0,0.025925000260651258,0.1683396468287054,0.8459958735268625,6.493332502843206
Standard,3,BIM,0.1,0.025925000260651258,0.05752393651153661,0.5493180433600555,2.218859630981217
Standard,3,BIM,0.5,0.025925000260651258,0.10693394725743077,0.7575606163846182,4.124742379259845
Standard,3,BIM,1.0,0.025925000260651258,0.10693394725743077,0.7575606163846182,4.124742379259845
Standard,3,BIM,2.0,0.025925000260651258,0.10693394725743077,0.7575606163846182,4.124742379259845
Standard,3,BIM,3.0,0.025925000260651258,0.10693394725743077,0.7575606163846182,4.124742379259845
Standard,3,PGD,0.1,0.025925000260651258,0.05749893799254534,0.549122102672359,2.2178953679632833
Standard,3,PGD,0.5,0.025925000260651258,0.10152362435267308,0.7446407136668712,3.9160510446267867
Standard,3,PGD,1.0,0.025925000260651258,0.11264097655420839,0.7698439674999189,4.344878511927111
Standard,3,PGD,2.0,0.025925000260651258,0.16489468908536203,0.8427784399579389,6.360450816875701
Standard,3,PGD,3.0,0.025925000260651258,0.2959471802226115,0.9123999078445334,11.41551310500072
Standard,3,Channel-Aware,0.1,0.025925000260651258,0.10643369256454391,0.7564211140665845,4.105446152148668
Standard,3,Channel-Aware,0.5,0.025925000260651258,0.10655396746906982,0.7566960585660343,4.110085492681615
Standard,3,Channel-Aware,1.0,0.025925000260651258,0.10647704527533365,0.7565202885409423,4.107118387842163
Standard,3,Channel-Aware,2.0,0.025925000260651258,0.10664638979938049,0.7569069116224143,4.1136504812787775
Standard,3,Channel-Aware,3.0,0.025925000260651258,0.10655928670916466,0.756708203843283,4.110290670696711
Standard,3,Pilot-Contamination,0.1,0.025925000260651258,0.026090267460565256,0.0063344387007069096,1.006374819604721
Standard,3,Pilot-Contamination,0.5,0.025925000260651258,0.028418566157308436,0.0877442543319838,1.0961838330409543
Standard,3,Pilot-Contamination,1.0,0.025925000260651258,0.03324858548712291,0.2202675728658609,1.282491230582062
Standard,3,Pilot-Contamination,2.0,0.025925000260651258,0.05043846107988766,0.4860073105801229,1.9455529632700805
Standard,3,Pilot-Contamination,3.0,0.025925000260651258,0.07141176081116136,0.6369645564516134,2.7545519804506817
Standard,3,Undermining,0.1,0.025925000260651258,0.0777126510643319,0.6663992296545117,2.997594996451494
Standard,3,Undermining,0.5,0.025925000260651258,0.17638124651523976,0.8530172522711406,6.803519565743253
Standard,3,Undermining,1.0,0.025925000260651258,0.3573421422782471,0.927450481783745,13.783689052478737
Standard,3,Undermining,2.0,0.025925000260651258,0.6209230524031187,0.9582476441157799,23.950744307052155
Standard,3,Undermining,3.0,0.025925000260651258,0.9774420211382868,0.973476687414707,37.70268124632731
Standard,4,FGSM,0.1,0.044731899996292145,0.047846124501481666,0.0650883334363493,1.0696197681173314
Standard,4,FGSM,0.5,0.044731899996292145,0.061778952320096746,0.27593624824646273,1.3810938575204192
Standard,4,FGSM,1.0,0.044731899996292145,0.08249120009876307,0.4577373108557444,1.8441246650734893
Standard,4,FGSM,2.0,0.044731899996292145,0.13430280396293418,0.6669324937650775,3.002394353337699
Standard,4,FGSM,3.0,0.044731899996292145,0.19927563693068415,0.7755275020806901,4.454888724762467
Standard,4,BIM,0.1,0.044731899996292145,0.08309400568771917,0.4616711563478848,1.8576006316433438
Standard,4,BIM,0.5,0.044731899996292145,0.13670966544087562,0.6727963611641061,3.056200730400622
Standard,4,BIM,1.0,0.044731899996292145,0.13670966544087562,0.6727963611641061,3.056200730400622
Standard,4,BIM,2.0,0.044731899996292145,0.13670966544087562,0.6727963611641061,3.056200730400622
Standard,4,BIM,3.0,0.044731899996292145,0.13670966544087562,0.6727963611641061,3.056200730400622
Standard,4,PGD,0.1,0.044731899996292145,0.08302112035307058,0.4611985503681809,1.8559712500464378
Standard,4,PGD,0.5,0.044731899996292145,0.1311760338684675,0.6589933490354982,2.9324941234184276
Standard,4,PGD,1.0,0.044731899996292145,0.1492542951719792,0.7002974021970386,3.3366410812943554
Standard,4,PGD,2.0,0.044731899996292145,0.21440552295671497,0.7913677811120434,4.79312354213631
Standard,4,PGD,3.0,0.044731899996292145,0.27615626124570825,0.8380196060212003,6.173586663401264
Standard,4,Channel-Aware,0.1,0.044731899996292145,0.1365201750153351,0.6723422015004926,3.0519645940961895
Standard,4,Channel-Aware,0.5,0.044731899996292145,0.13657550513393157,0.6724749437871292,3.0532015216266783
Standard,4,Channel-Aware,1.0,0.044731899996292145,0.13656694757496865,0.6724544204099129,3.0530102138806705
Standard,4,Channel-Aware,2.0,0.044731899996292145,0.13647083157898487,0.672223731043928,3.050861501306607
Standard,4,Channel-Aware,3.0,0.044731899996292145,0.13633910848044126,0.6719070522401924,3.047916777327645
Standard,4,Pilot-Contamination,0.1,0.044731899996292145,0.044831592500544665,0.0022237109746058867,1.0022286668856182
Standard,4,Pilot-Contamination,0.5,0.044731899996292145,0.047223306451165646,0.052757984184142286,1.055696414752783
Standard,4,Pilot-Contamination,1.0,0.044731899996292145,0.054196697699722046,0.17463790424777934,1.2115894407394823
Standard,4,Pilot-Contamination,2.0,0.044731899996292145,0.06817645911182782,0.3438805626012384,1.524112749905079
Standard,4,Pilot-Contamination,3.0,0.044731899996292145,0.07729236887090689,0.42126369459573665,1.7279026573276275
Standard,4,Undermining,0.1,0.044731899996292145,0.09342718162280715,0.5212110734872866,2.0886030244758524
Standard,4,Undermining,0.5,0.044731899996292145,0.16983071232812214,0.7366088890337591,3.7966353394825507
Standard,4,Undermining,1.0,0.044731899996292145,0.447491675979781,0.900038587537183,10.003860243291117
Standard,4,Undermining,2.0,0.044731899996292145,0.5674876148078943,0.9211755484541548,12.686418749369773
Standard,4,Undermining,3.0,0.044731899996292145,0.7395110236564802,0.939511516981698,16.532072720313217
Standard,5,FGSM,0.1,0.01556402604093001,0.01745107988825272,0.10813392978580022,1.121244583012144
Standard,5,FGSM,0.5,0.01556402604093001,0.026579336026126218,0.41443134525138947,1.7077416830470686
Standard,5,FGSM,1.0,0.01556402604093001,0.041576355815654706,0.625651990522226,2.671311118750246
Standard,5,FGSM,2.0,0.01556402604093001,0.08345284232141292,0.8134991498433783,5.361905852762651
Standard,5,FGSM,3.0,0.01556402604093001,0.1394361022932854,0.8883787929743394,8.95887104831351
Standard,5,BIM,0.1,0.01556402604093001,0.04280832275939853,0.6364252314110358,2.750465891461627
Standard,5,BIM,0.5,0.01556402604093001,0.08807987153052507,0.823296449342162,5.659195846813295
Standard,5,BIM,1.0,0.01556402604093001,0.08807987153052507,0.823296449342162,5.659195846813295
Standard,5,BIM,2.0,0.01556402604093001,0.08807987153052507,0.823296449342162,5.659195846813295
Standard,5,BIM,3.0,0.01556402604093001,0.08807987153052507,0.823296449342162,5.659195846813295
Standard,5,PGD,0.1,0.01556402604093001,0.04262885770559403,0.6348946024212232,2.7389351311472616
Standard,5,PGD,0.5,0.01556402604093001,0.08188899371872428,0.8099375101080132,5.261427441933983
Standard,5,PGD,1.0,0.01556402604093001,0.10191801481175841,0.8472887637217364,6.548306623474939
Standard,5,PGD,2.0,0.01556402604093001,0.1570950573262304,0.9009260615462326,10.093471760655277
Standard,5,PGD,3.0,0.01556402604093001,0.22877496146080678,0.93196796563073,14.698957767044227
Standard,5,Channel-Aware,0.1,0.01556402604093001,0.08683671103808557,0.8207667488223523,5.579321880452004
Standard,5,Channel-Aware,0.5,0.01556402604093001,0.08725753294275349,0.8216311472942858,5.606359994084122
Standard,5,Channel-Aware,1.0,0.01556402604093001,0.08678356282597484,0.8206569823350051,5.5759070691447645
Standard,5,Channel-Aware,2.0,0.01556402604093001,0.08687055916782457,0.8208365850292044,5.581496647421038
Standard,5,Channel-Aware,3.0,0.01556402604093001,0.08690734588057657,0.8209124224974347,5.583860220487239
Standard,5,Pilot-Contamination,0.1,0.01556402604093001,0.015886227556747328,0.020281814210855287,1.0207016818765273
Standard,5,Pilot-Contamination,0.5,0.01556402604093001,0.017594656834070976,0.11541178735630547,1.1304695062704757
Standard,5,Pilot-Contamination,1.0,0.01556402604093001,0.027713667793573555,0.4383989099941832,1.7806233246264576
Standard,5,Pilot-Contamination,2.0,0.01556402604093001,0.03709870633686284,0.5804698444305337,2.3836188810852215
Standard,5,Pilot-Contamination,3.0,0.01556402604093001,0.04640851452821543,0.6646299456219957,2.9817808326824378
Standard,5,Undermining,0.1,0.01556402604093001,0.03724672804231242,0.5821370934045744,2.3931293833845824
Standard,5,Undermining,0.5,0.01556402604093001,0.17020886902366178,0.9085592535206473,10.93604370591834
Standard,5,Undermining,1.0,0.01556402604093001,0.2752053774120383,0.9434457778867181,17.682145782094423
Standard,5,Undermining,2.0,0.01556402604093001,0.532361469296497,0.9707641763377476,34.20461183350002
Standard,5,Undermining,3.0,0.01556402604093001,0.7496458126609009,0.9792381605045124,48.16528902544208
Standard,6,FGSM,0.1,0.03981536628520889,0.042625833837128944,0.06593343282523699,1.07058750965112
Standard,6,FGSM,0.5,0.03981536628520889,0.055263061544115116,0.2795302110900012,1.3879832511962833
Standard,6,FGSM,1.0,0.03981536628520889,0.07418187453625251,0.4632736563464541,1.8631468565394191
Standard,6,FGSM,2.0,0.03981536628520889,0.1223127512436746,0.6744790229933779,3.0719986441293363
Standard,6,FGSM,3.0,0.03981536628520889,0.18395918836662903,0.783564133769403,4.620306317135866
Standard,6,BIM,0.1,0.03981536628520889,0.07459034204532645,0.46621284748883157,1.8734058983914512
Standard,6,BIM,0.5,0.03981536628520889,0.12390573265761978,0.67866405023222,3.1120078557119752
Standard,6,BIM,1.0,0.03981536628520889,0.12390573265761978,0.67866405023222,3.1120078557119752
Standard,6,BIM,2.0,0.03981536628520889,0.12390573265761978,0.67866405023222,3.1120078557119752
Standard,6,BIM,3.0,0.03981536628520889,0.12390573265761978,0.67866405023222,3.1120078557119752
Standard,6,PGD,0.1,0.03981536628520889,0.07455601957181685,0.4659671142065688,1.8725438575084477
Standard,6,PGD,0.5,0.03981536628520889,0.11435852707886215,0.6518373635771644,2.8722208973208794
Standard,6,PGD,1.0,0.03981536628520889,0.13391272472253857,0.7026767518344159,3.3633427798524647
Standard,6,PGD,2.0,0.03981536628520889,0.18133587740139775,0.7804330458165473,4.554419419438135
Standard,6,PGD,3.0,0.03981536628520889,0.3024639946784771,0.8683632862564912,7.596664878374866
Standard,6,Channel-Aware,0.1,0.03981536628520889,0.12372106212200329,0.6781844125622982,3.107369683246258
Standard,6,Channel-Aware,0.5,0.03981536628520889,0.12363444749618331,0.677958958109648,3.1051942762639504
Standard,6,Channel-Aware,1.0,0.03981536628520889,0.12381355861041494,0.6784248289762047,3.1096928186846986
Standard,6,Channel-Aware,2.0,0.03981536628520889,0.1237800045568905,0.6783376569766617,3.108850077385169
Standard,6,Channel-Aware,3.0,0.03981536628520889,0.12388956492985748,0.6786221155288491,3.1116017881739673
Standard,6,Pilot-Contamination,0.1,0.03981536628520889,0.039628192277301,-0.004723253753240241,0.9952989504964714
Standard,6,Pilot-Contamination,0.5,0.03981536628520889,0.04134453257987658,0.03698593742022313,1.0384064354378617
Standard,6,Pilot-Contamination,1.0,0.03981536628520889,0.04807792443420329,0.17185763000859303,1.2075218419392988
Standard,6,Pilot-Contamination,2.0,0.03981536628520889,0.061833557899430215,0.3560880590121148,1.5530073855530728
Standard,6,Pilot-Contamination,3.0,0.03981536628520889,0.08336570886836135,0.5224011547952006,2.0938074077025655
Standard,6,Undermining,0.1,0.03981536628520889,0.06956015602656883,0.42761246438260975,1.747068092461827
Standard,6,Undermining,0.5,0.03981536628520889,0.17893283298724252,0.7774842904988396,4.4940647212811085
Standard,6,Undermining,1.0,0.03981536628520889,0.3491054863995043,0.8859503278053742,8.768109375128224
Standard,6,Undermining,2.0,0.03981536628520889,0.6456271013899749,0.9383307079280128,16.215525854142914
Standard,6,Undermining,3.0,0.03981536628520889,0.9927004078545313,0.9598918606558653,24.932595137855408
Standard,7,FGSM,0.1,0.027220053368778245,0.02936687373285034,0.073103469698602,1.0788690725542267
Standard,7,FGSM,0.5,0.027220053368778245,0.03925300563505253,0.3065485577881196,1.4420620379854303
Standard,7,FGSM,1.0,0.027220053368778245,0.054582709754764445,0.5013063021041705,2.0052388955773144
Standard,7,FGSM,2.0,0.027220053368778245,0.0953194826900692,0.7144334757115279,3.501811014059285
Standard,7,FGSM,3.0,0.027220053368778245,0.14980083011423687,0.818291705406302,5.503326098767329
Standard,7,BIM,0.1,0.027220053368778245,0.055278462831849125,0.5075830264749114,2.0307992083238986
Standard,7,BIM,0.5,0.027220053368778245,0.09799840208177465,0.7222398244201522,3.6002281389418616
Standard,7,BIM,1.0,0.027220053368778245,0.09799840208177465,0.7222398244201522,3.6002281389418616
Standard,7,BIM,2.0,0.027220053368778245,0.09799840208177465,0.7222398244201522,3.6002281389418616
Standard,7,BIM,3.0,0.027220053368778245,0.09799840208177465,0.7222398244201522,3.6002281389418616
Standard,7,PGD,0.1,0.027220053368778245,0.05513990410329041,0.5063456527274969,2.025708890289561
Standard,7,PGD,0.5,0.027220053368778245,0.09311872059545347,0.7076844141036528,3.4209602506607077
Standard,7,PGD,1.0,0.027220053368778245,0.10999573502463851,0.7525353745517399,4.04098160772914
Standard,7,PGD,2.0,0.027220053368778245,0.1742046438577482,0.8437466834064105,6.39986415521004
Standard,7,PGD,3.0,0.027220053368778245,0.2638496304658672,0.8968349763434686,9.693207683733132
Standard,7,Channel-Aware,0.1,0.027220053368778245,0.09714643520560727,0.7198038887256348,3.5689289028740663
Standard,7,Channel-Aware,0.5,0.027220053368778245,0.09715625886348944,0.7198322198982146,3.569289800692637
Standard,7,Channel-Aware,1.0,0.027220053368778245,0.09712522529796204,0.7197427003615982,3.5681497013288714
Standard,7,Channel-Aware,2.0,0.027220053368778245,0.09730962518361538,0.720273782604586,3.574924114411575
Standard,7,Channel-Aware,3.0,0.027220053368778245,0.09716433944772275,0.71985551979774,3.5695866621323935
Standard,7,Pilot-Contamination,0.1,0.027220053368778245,0.02737772384074308,0.005759078909627662,1.005792438017248
Standard,7,Pilot-Contamination,0.5,0.027220053368778245,0.030298259137929256,0.10159678663839534,1.1130859564251168
Standard,7,Pilot-Contamination,1.0,0.027220053368778245,0.03313603379825728,0.17853616596051924,1.2173390459353304
Standard,7,Pilot-Contamination,2.0,0.027220053368778245,0.04868547533097741,0.44089991555533253,1.7885885332914258
Standard,7,Pilot-Contamination,3.0,0.027220053368778245,0.058538622562114055,0.5350069376863857,2.150569720383378
Standard,7,Undermining,0.1,0.027220053368778245,0.06913736688306417,0.6062902798306302,2.5399423706628594
Standard,7,Undermining,0.5,0.027220053368778245,0.17506006200784952,0.8445102037747608,6.431290182871048
Standard,7,Undermining,1.0,0.027220053368778245,0.3533829056990766,0.922972919940962,12.982447202120897
Standard,7,Undermining,2.0,0.027220053368778245,0.6813609073145993,0.9600504621316496,25.03157867045658
Standard,7,Undermining,3.0,0.027220053368778245,0.9857163815172982,0.9723855118174268,36.2128746833365
Standard,8,FGSM,0.1,0.03133385889499382,0.034034155629863776,0.0793407882433416,1.0861782375391171
Standard,8,FGSM,0.5,0.03133385889499382,0.0464481916693708,0.3254019635891182,1.4823642317733097
Standard,8,FGSM,1.0,0.03133385889499382,0.06562054432314413,0.5224992535768637,2.0942375640055064
Standard,8,FGSM,2.0,0.03133385889499382,0.11634888315772078,0.7306905056190517,3.7131999460273857
Standard,8,FGSM,3.0,0.03133385889499382,0.183751015737558,0.8294765404739513,5.864295756017326
Standard,8,BIM,0.1,0.03133385889499382,0.06609944823182855,0.5259588433310737,2.1095214749431705
Standard,8,BIM,0.5,0.03133385889499382,0.11829799788571689,0.7351277328863651,3.7754046918433413
Standard,8,BIM,1.0,0.03133385889499382,0.11829799788571689,0.7351277328863651,3.7754046918433413
Standard,8,BIM,2.0,0.03133385889499382,0.11829799788571689,0.7351277328863651,3.7754046918433413
Standard,8,BIM,3.0,0.03133385889499382,0.11829799788571689,0.7351277328863651,3.7754046918433413
Standard,8,PGD,0.1,0.03133385889499382,0.06606205829440072,0.5256905445580158,2.108328199082922
Standard,8,PGD,0.5,0.03133385889499382,0.11116135813853065,0.7181227413941346,3.547643413824487
Standard,8,PGD,1.0,0.03133385889499382,0.13059910275272396,0.7600760017905998,4.167986560174038
Standard,8,PGD,2.0,0.03133385889499382,0.18887326838411958,0.834101145370827,6.027769162332434
Standard,8,PGD,3.0,0.03133385889499382,0.30891952290993757,0.8985695089781397,9.85896834300525
Standard,8,Channel-Aware,0.1,0.03133385889499382,0.11858682067647902,0.7357728395427949,3.7846222858757277
Standard,8,Channel-Aware,0.5,0.03133385889499382,0.11853099004282201,0.7356483828940115,3.7828404870285413
Standard,8,Channel-Aware,1.0,0.03133385889499382,0.1185196039337047,0.7356229867885757,3.782477106662418
Standard,8,Channel-Aware,2.0,0.03133385889499382,0.11846787818559457,0.7355075538205769,3.7808263126033945
Standard,8,Channel-Aware,3.0,0.03133385889499382,0.11871879837374996,0.7360665764460594,3.78883426939532
Standard,8,Pilot-Contamination,0.1,0.03133385889499382,0.031442996643158236,0.0034709715935475932,1.0034830612000314
Standard,8,Pilot-Contamination,0.5,0.03133385889499382,0.03465419677656397,0.09581344224996254,1.1059664528616562
Standard,8,Pilot-Contamination,1.0,0.03133385889499382,0.0394401724965807,0.20553443579106215,1.2587077968517315
Standard,8,Pilot-Contamination,2.0,0.03133385889499382,0.06078176327528913,0.48448585222711654,1.9398109718621401
Standard,8,Pilot-Contamination,3.0,0.03133385889499382,0.06691309495549652,0.5317230668252041,2.135488488019813
Standard,8,Undermining,0.1,0.03133385889499382,0.04542240085329128,0.31016726755157004,1.4496267761181618
Standard,8,Undermining,0.5,0.03133385889499382,0.18131845801889213,0.8271888078171884,5.786662237374829
Standard,8,Undermining,1.0,0.03133385889499382,0.298374697698551,0.8949848658861467,9.522437012896042
Standard,8,Undermining,2.0,0.03133385889499382,0.6552004419580327,0.9521766822968644,20.91030166931381
Standard,8,Undermining,3.0,0.03133385889499382,0.9603440666544418,0.9673722575241686,30.64876464379161
