Model,Sample_Index,Attack,Epsilon,MSE_Clean,MSE_Adversarial,Degradation_Ratio,Perturbation_Linf,Attack_Success
Standard,0,FGSM,0.1,0.027674519921996134,0.030118931531417713,1.0883271549537783,0.009999999776482582,False
Standard,0,FGSM,0.5,0.027674519921996134,0.0413294708746002,1.4934123876797913,0.05000000074505806,False
Standard,0,FGSM,1.0,0.027674519921996134,0.05851728747375187,2.1144824784202103,0.10000000149011612,True
Standard,0,FGSM,2.0,0.027674519921996134,0.10333998769936073,3.7341203385148707,0.20000000298023224,True
Standard,0,FGSM,3.0,0.027674519921996134,0.160741790264802,5.808295526638638,0.30000001192092896,True
Standard,0,BIM,0.1,0.027674519921996134,0.05908652209243323,2.135051385136056,0.10000002384185791,True
Standard,0,BIM,0.5,0.027674519921996134,0.1053889630172298,3.80815867138006,0.20000016689300537,True
Standard,0,BIM,1.0,0.027674519921996134,0.1053889630172298,3.80815867138006,0.20000016689300537,True
Standard,0,BIM,2.0,0.027674519921996134,0.1053889630172298,3.80815867138006,0.20000016689300537,True
Standard,0,BIM,3.0,0.027674519921996134,0.1053889630172298,3.80815867138006,0.20000016689300537,True
Standard,0,PGD,0.1,0.027674519921996134,0.05897413381455669,2.1309903109713257,0.10000002384185791,True
Standard,0,PGD,0.5,0.027674519921996134,0.1000679761451048,3.6158884210876314,0.5000001192092896,True
Standard,0,PGD,1.0,0.027674519921996134,0.11912310421250749,4.304432544747655,1.0000001192092896,True
Standard,0,PGD,2.0,0.027674519921996134,0.15520291448941176,5.608152008666069,2.000000238418579,True
Standard,0,PGD,3.0,0.027674519921996134,0.26818175196844346,9.690565643933303,3.0,True
Standard,0,Channel-Aware,0.1,0.027674519921996134,0.1049152919116631,3.7910428873700104,0.2365669310092926,True
Standard,0,Channel-Aware,0.5,0.027674519921996134,0.10497856521461534,3.7933292252407513,0.24456244707107544,True
Standard,0,Channel-Aware,1.0,0.027674519921996134,0.10495919962747932,3.792629462889296,0.24417239427566528,True
Standard,0,Channel-Aware,2.0,0.027674519921996134,0.10493724932515991,3.7918363036084384,0.23619161546230316,True
Standard,0,Channel-Aware,3.0,0.027674519921996134,0.10482863437303255,3.787911576009423,0.23584282398223877,True
Standard,0,Pilot-Contamination,0.1,0.027674519921996134,0.02765771015478328,0.9993925904673239,0.43934188111239214,False
Standard,0,Pilot-Contamination,0.5,0.027674519921996134,0.030179206194752617,1.0905051390165479,2.3465136116302756,False
Standard,0,Pilot-Contamination,1.0,0.027674519921996134,0.03927152102304915,1.4190497661292958,4.9948883358507965,False
Standard,0,Pilot-Contamination,2.0,0.027674519921996134,0.056380613762421344,2.037275223611347,9.705555473064324,True
Standard,0,Pilot-Contamination,3.0,0.027674519921996134,0.06744542782300271,2.4370947721263287,13.293716116753387,True
Standard,1,FGSM,0.1,0.04183792171646652,0.043919014905112026,1.0497417917349952,0.009999999776482582,False
Standard,1,FGSM,0.5,0.04183792171646652,0.05331651966954475,1.2743587033521433,0.05000000074505806,False
Standard,1,FGSM,1.0,0.04183792171646652,0.06758540979773663,1.6154103030202966,0.10000000149011612,True
Standard,1,FGSM,2.0,0.04183792171646652,0.1053321350484343,2.5176235034394123,0.20000000298023224,True
Standard,1,FGSM,3.0,0.04183792171646652,0.15693724907883205,3.751076598459834,0.30000001192092896,True
Standard,1,BIM,0.1,0.04183792171646652,0.06794334025787224,1.6239654712851377,0.10000014305114746,True
Standard,1,BIM,0.5,0.04183792171646652,0.10695972811123372,2.5565258436137053,0.20000457763671875,True
Standard,1,BIM,1.0,0.04183792171646652,0.10695972811123372,2.5565258436137053,0.20000457763671875,True
Standard,1,BIM,2.0,0.04183792171646652,0.10695972811123372,2.5565258436137053,0.20000457763671875,True
Standard,1,BIM,3.0,0.04183792171646652,0.10695972811123372,2.5565258436137053,0.20000457763671875,True
Standard,1,PGD,0.1,0.04183792171646652,0.06791733612869878,1.6233439268081034,0.10000014305114746,True
Standard,1,PGD,0.5,0.04183792171646652,0.10013369069776006,2.393371529694066,0.5000002384185791,True
Standard,1,PGD,1.0,0.04183792171646652,0.11586481495837485,2.7693730999255854,1.000000238418579,True
Standard,1,PGD,2.0,0.04183792171646652,0.13349593361625706,3.1907878818874478,2.000000238418579,True
